file_name,obj_class,volume,surface_area,diameter,eccentricity,compactness,rectangularity,convexity,elongation,A3,D1,D2,D3,D4
m1352.obj,AircraftBuoyant,0.2217,0.1524,1.0267,0.0247,0.0343,0.3425,0.5732,0.3426,0.0041,0.0078,0.0032,0.0066,0.0066
m1344.obj,AircraftBuoyant,0.531,0.2831,0.4733,0.0138,0.0083,0.0433,1.4302,0.073,0.0054,0.0285,0.0017,0.0035,0.0072
m1346.obj,AircraftBuoyant,0.399,0.396,0.5086,0.0589,0.2668,0.7625,0.947,1.453,0.0098,0.0056,0.0071,0.0041,0.006
m1351.obj,AircraftBuoyant,0.5267,0.4408,0.4957,0.12,0.221,1.6691,1.452,2.258,0.014,0.01,0.0074,0.0053,0.0057
m1348.obj,AircraftBuoyant,0.4012,0.3957,0.4149,0.0587,0.2646,0.5291,0.944,0.7835,0.0091,0.0054,0.0058,0.0044,0.0066
m1347.obj,AircraftBuoyant,0.1578,0.1337,0.4435,0.0496,0.0694,0.6826,1.4242,1.1831,0.0046,0.0093,0.0087,0.0022,0.0059
D00310.obj,Apartment,2.2991,3.4522,0.7291,0.0477,4.8767,2.8287,1.7187,0.8833,0.0034,0.0045,0.0086,0.0051,0.0043
D00869.obj,Apartment,0.7284,1.6809,1.1811,0.0028,3.4891,0.5719,1.5672,0.628,0.0044,0.004,0.0102,0.012,0.0143
D00859.obj,Apartment,0.7937,1.1169,0.4589,0.0602,1.2874,1.7731,1.7187,0.4574,0.0033,0.0084,0.0082,0.0044,0.0056
D00921.obj,Apartment,0.6874,1.0181,0.1277,0.0135,1.2328,0.845,1.7187,1.0288,0.0034,0.0185,0.0042,0.0082,0.0084
m76.obj,AquaticAnimal,0.6484,0.5959,0.4442,0.1277,0.3598,0.0311,0.1845,0.4558,0.0112,0.0059,0.0063,0.0063,0.014
m74.obj,AquaticAnimal,0.7244,0.6426,0.4471,0.1633,0.3665,0.0775,0.3355,0.711,0.0135,0.0067,0.0056,0.0087,0.0148
